name,Username,Congressperson,Chamber,Party,State,Region,Division
1,SenatorBaldwin,Tammy Baldwin,Senate,D,WI,Midwest,East North Central
2,SenJohnBarrasso,John Barrasso,Senate,R,WY,West,Mountain
3,SenatorBennet,Michael Bennet,Senate,D,CO,West,Mountain
4,MarshaBlackburn,Marsha Blackburn,Senate,R,TN,South,East South Central
5,SenBlumenthal,Richard Blumenthal,Senate,D,CT,Northeast,New England
6,RoyBlunt,Roy Blunt,Senate,R,MO,Midwest,West North Central
7,CoryBooker,Cory Booker,Senate,D,NJ,Northeast,Middle Atlantic
8,JohnBoozman,John Boozman,Senate,R,AR,South,West South Central
9,SenatorBraun,Michael Braun,Senate,R,IN,Midwest,East North Central
10,SenSherrodBrown,Sherrod Brown,Senate,D,OH,Midwest,East North Central
11,SenatorCantwell,Maria Cantwell,Senate,D,WA,West,Pacific
12,SenCapito,Shelley Moore Capito,Senate,R,WV,South,South Atlantic
13,SenatorCardin,Ben Cardin,Senate,D,MD,South,South Atlantic
14,SenatorCarper,Tom Carper,Senate,D,DE,South,South Atlantic
15,SenBobCasey,Bob Casey,Senate,D,PA,Northeast,Middle Atlantic
16,SenBillCassidy,Bill Cassidy,Senate,R,LA,South,West South Central
17,ChrisCoons,Chris Coons,Senate,D,DE,South,South Atlantic
18,JohnCornyn,John Cornyn,Senate,R,TX,South,West South Central
19,SenCortezMasto,Catherine Cortez Masto,Senate,D,NV,West,Mountain
20,SenTomCotton,Tom Cotton,Senate,R,AR,South,West South Central
21,SenKevinCramer,Kevin Cramer,Senate,R,ND,Midwest,West North Central
22,MikeCrapo,Mike Crapo,Senate,R,ID,West,Mountain
23,SenTedCruz,Ted Cruz,Senate,R,TX,South,West South Central
24,SteveDaines,Steve Daines,Senate,R,MT,West,Mountain
25,SenDuckworth,Tammy Duckworth,Senate,D,IL,Midwest,East North Central
26,SenatorDurbin,Dick Durbin,Senate,D,IL,Midwest,East North Central
27,SenJoniErnst,Joni Ernst,Senate,R,IA,Midwest,West North Central
28,SenFeinstein,Dianne Feinstein,Senate,D,CA,West,Pacific
29,SenatorFischer,Deb FIscher,Senate,D,NE,Midwest,West North Central
30,SenGillibrand,Kirsten Gillibrand,Senate,D,NY,Northeast,Middle Atlantic
31,LindseyGrahamSC,Lindsey Graham,Senate,R,SC,South,South Atlantic
32,ChuckGrassley,Chuck Grassley,Senate,R,IA,Midwest,West North Central
33,SenatorHagerty,Bill Hagerty,Senate,R,TN,South,East South Central
34,SenatorHassan,Maggie Hassan,Senate,D,NH,Northeast,New England
35,HawleyMO,Josh Hawley,Senate,R,MO,Midwest,West North Central
36,MartinHeinrich,Martin Heinrich,Senate,D,NM,West,Mountain
37,SenatorHick,John Hickenlooper,Senate,D,CO,West,Mountain
38,maziehirono,Mazie Hirono,Senate,D,HI,West,Pacific
39,SenJohnHoeven,John Hoeven,Senate,R,ND,Midwest,West North Central
40,SenHydeSmith,Hyde Smith,Senate,R,MS,South,East South Central
41,JimInhofe,Jim Inhofe,Senate,R,OK,South,West South Central
42,SenRonJohnson,Ron Johnson,Senate,R,WI,Midwest,East North Central
43,timkaine,Tim Kaine,Senate,D,VA,South,South Atlantic
44,SenMarkKelly,Mark Kelly,Senate,D,AZ,West,Mountain
45,SenJohnKennedy,John Kennedy,Senate,R,LA,South,West South Central
46,SenAngusKing,Angus King,Senate,I,ME,Northeast,New England
47,SenAmyKlobuchar,Amy Klobuchar,Senate,D,MN,Midwest,West North Central
48,SenatorLankford,James Lankford,Senate,R,OK,South,West South Central
49,SenatorLeahy,Patrick Leahy,Senate,D,VT,Northeast,New England
50,SenMikeLee,Mike Lee,Senate,R,UT,West,Mountain
51,SenatorLujan,Ben Ray Lujan,Senate,D,NM,West,Mountain
52,SenLummis,Cynthia Lummis,Senate,R,WY,West,Mountain
53,Sen_JoeManchin,Joe Manchin,Senate,D,WV,South,South Atlantic
54,SenMarkey,Edward Markey,Senate,D,MA,Northeast,New England
55,SenatorMenendez,Robert Menendez,Senate,D,NJ,Northeast,Middle Atlantic
56,SenJeffMerkley,Jeff Merkley,Senate,D,OR,West,Pacific
57,JerryMoran,Jerry Moran,Senate,R,KS,Midwest,West North Central
58,lisamurkowski,Lisa Murkowski,Senate,R,AK,West,Pacific
59,ChrisMurphyCT,Chris Murphy,Senate,D,CT,Northeast,New England
60,PattyMurray,Patty Murray,Senate,D,WA,West,Pacific
61,ossoff,Jon Ossoff,Senate,D,GA,South,South Atlantic
62,SenAlexPadilla,Alex Padilla,Senate,D,CA,West,Pacific
63,RandPaul,Rand Paul,Senate,R,KY,South,East South Central
64,SenGaryPeters,Gary Peters,Senate,D,MI,Midwest,East North Central
65,senrobportman,Robert Portman,Senate,R,OH,Midwest,East North Central
66,SenJackReed,Jack Reed,Senate,D,RI,Northeast,New England
67,SenatorRisch,James Risch,Senate,R,ID,West,Mountain
68,SenatorRomney,Mitt Romney,Senate,R,UT,West,Mountain
69,SenJackyRosen,Jacky Rosen,Senate,D,NV,West,Mountain
70,marcorubio,Marco Rubio,Senate,R,FL,South,South Atlantic
71,SenSanders,Bernie Sanders,Senate,I,VT,Northeast,New England
72,SenSchumer,Chuck Schumer,Senate,D,NY,Northeast,Middle Atlantic
73,SenRickScott,Rick Scott,Senate,R,FL,South,South Atlantic
74,SenatorTimScott,Tim Scott,Senate,R,SC,South,South Atlantic
75,SenatorShaheen,Jeanne Shaheen,Senate,D,NH,Northeast,New England
76,SenatorSinema,Kyrsten Sinema,Senate,I,AZ,West,Mountain
77,SenTinaSmith,Tina Smith,Senate,D,MN,Midwest,West North Central
78,SenStabenow,Debbie Stabenow,Senate,D,MI,Midwest,East North Central
79,SenDanSullivan,Dan Sullivan,Senate,R,AK,West,Pacific
80,SenatorTester,Jon Tester,Senate,D,MT,West,Mountain
81,SenJohnThune,John Thune,Senate,R,SD,Midwest,West North Central
82,SenThomTillis,Thom Tillis,Senate,R,NC,South,South Atlantic
83,SenToomey,Pat Toomey,Senate,R,PA,Northeast,Middle Atlantic
84,SenTuberville,Tommy Tuberville,Senate,R,AL,South,East South Central
85,ChrisVanHollen,Chris Van Hollen,Senate,D,MD,South,South Atlantic
86,MarkWarner,Mark Warner,Senate,D,VA,South,South Atlantic
87,SenatorWarnock,Raphael Warnock,Senate,D,GA,South,South Atlantic
88,SenWarren,Elizabeth Warren,Senate,D,MA,Northeast,New England
89,SenWhitehouse,Sheldon Whitehouse,Senate,D,RI,Northeast,New England
90,SenatorWicker,Roger Wicker,Senate,R,MS,South,East South Central
91,RonWyden,Ron Wyden,Senate,D,OR,West,Pacific
92,SenToddYoung,Todd Young,Senate,R,IN,Midwest,East North Central
93,RepAdams,Alma Adams,House,D,NC,South,South Atlantic
94,Robert_Aderholt,Robert Aderholt,House,R,AL,South,East South Central
95,RepPeteAguilar,Pete Aguilar,House,D,CA,West,Pacific
96,RepRickAllen,Rick Allen,House,R,GA,South,South Atlantic
97,RepColinAllred,Colin Allred,House,D,TX,South,West South Central
98,RepArmstrongND,Kelly Armstrong,House,R,ND,Midwest,West North Central
99,RepArrington,Jodey Arrington,House,R,TX,South,West South Central
100,RepAuchincloss,Jake Auchincloss,House,D,MA,Northeast,New England
101,RepCindyAxne,Cynthia Axne,House,D,IA,Midwest,West North Central
102,RepBrianBabin,Brian Babin,House,R,TX,South,West South Central
103,RepDonBacon,Don Bacon,House,R,NE,Midwest,West North Central
104,RepJimBaird,Jim Baird,House,R,IN,Midwest,East North Central
105,RepBalderson,Troy Balderson,House,R,OH,Midwest,East North Central
106,RepJimBanks,Jim Banks,House,R,IN,Midwest,East North Central
107,RepAndyBarr,Andy Barr,House,R,KY,South,East South Central
108,RepBarragan,Nanette Barragan,House,D,CA,West,Pacific
109,RepKarenBass,Karen Bass,House,D,CA,West,Pacific
110,RepBeatty,Joyce Beatty,House,D,OH,Midwest,East North Central
111,RepBera,Ami Bera,House,D,CA,West,Pacific
112,RepDonBeyer,Don Beyer,House,D,VA,South,South Atlantic
113,RepBice,Stephanie Bice,House,R,OK,South,West South Central
114,RepAndyBiggsAZ,Andy Biggs,House,R,AZ,West,Mountain
115,RepGusBilirakis,Gus Bilirakis,House,R,FL,South,South Atlantic
116,SanfordBishop,Sanford Bishop,House,D,GA,South,South Atlantic
117,RepDanBishop,Dan Bishop,House,R,NC,South,South Atlantic
118,RepLBR,Lisa Blunt Rochester,House,D,DE,South,South Atlantic
119,RepBoebert,Lauren Boebert,House,R,CO,West,Mountain
120,RepBonamici,Suzzane Bonamici,House,D,OR,West,Pacific
121,RepBost,Michael Bost,House,R,IL,Midwest,East North Central
122,RepBourdeaux,Carolyn Bourdeaux,House,D,GA,South,South Atlantic
123,RepBowman,Jamaal Bowman,House,D,NY,Northeast,Middle Atlantic
124,CongBoyle,Brendan Boyle,House,D,PA,Northeast,Middle Atlantic
125,RepKevinBrady,Kevin Brady,House,R,TX,South,West South Central
126,RepMoBrooks,Mo Brooks,House,R,AL,South,East South Central
127,RepAnthonyBrown,Anthony Brown,House,D,MD,South,South Atlantic
128,RepShontelBrown,Shontel Brown,House,D,OH,Midwest,East North Central
129,RepBrownley,Julia Brownley,House,D,CA,West,Pacific
130,VernBuchanan,Vern Buchanan,House,R,FL,South,South Atlantic
131,RepKenBuck,Ken Buck,House,R,CO,West,Mountain
132,RepLarryBucshon,Larry Bucshon,House,R,IN,Midwest,East North Central
133,RepTedBudd,Tedd Budd,House,R,NC,South,South Atlantic
134,RepTimBurchett,Tim Burchett,House,R,TN,South,East South Central
135,michaelcburgess,Michael Burgess,House,R,TX,South,West South Central
136,RepCori,Cori Bush,House,D,MO,Midwest,West North Central
137,RepCheri,Cheri Bustos,House,D,IL,Midwest,East North Central
138,RepKatCammack,Kat Cammack,House,R,FL,South,South Atlantic
139,RepCarbajal,Salud Carbajal,House,D,CA,West,Pacific
140,RepCardenas,Tony Cardenas,House,D,CA,West,Pacific
